.model_id,.model_desc,.key,.index,.value,date,page_views,page_views_lag28,page_views_lag28_roll_28,page_views_lag28_roll_56,page_views_lag28_roll_84,date_sin28_K1,date_cos28_K1,date_sin56_K1,date_cos56_K1,date_sin84_K1,date_cos84_K1,id
1,NBEATS ENSEMBLE,prediction,2022-12-11,226.4417349041386,2022-12-11,NA,209,269.14285714285717,279.39130434782606,284.25,-0.6234898018585389,-0.7818314824681851,0.9438833303084087,-0.3302790619550495,0.9555728057860939,0.294755174411056,1
1,NBEATS ENSEMBLE,prediction,2022-12-12,323.5865611086721,2022-12-12,NA,338,269.32142857142856,277.97777777777776,283.20338983050846,-0.7818314824677272,-0.623489801859113,0.9009688679025244,-0.4338837391173395,0.9749279121817708,0.22252093395654604,1
1,NBEATS ENSEMBLE,prediction,2022-12-13,308.63452860209594,2022-12-13,NA,358,268.9642857142857,276.47727272727275,282.98275862068965,-0.9009688679025006,-0.43388373911738887,0.8467241992282342,-0.5320320765154161,0.9888308262250814,0.14904226617648725,1
1,NBEATS ENSEMBLE,prediction,2022-12-14,301.9176165536574,2022-12-14,NA,330,268.32142857142856,274.4186046511628,283.10526315789474,-0.9749279121818129,-0.22252093395636158,0.7818314824680449,-0.6234898018587146,0.9972037971811676,0.0747300935865915,1
1,NBEATS ENSEMBLE,prediction,2022-12-15,293.2819715067982,2022-12-15,NA,318,269.9642857142857,274.0952380952381,282.5357142857143,-1,-2.8464814986322313e-13,0.7071067811866482,-0.7071067811864469,1,2.464651669165624e-13,1
1,NBEATS ENSEMBLE,prediction,2022-12-16,236.26125864048515,2022-12-16,NA,284,271,272.7560975609756,282.1272727272727,-0.9749279121819395,0.22252093395580655,0.6234898018589371,-0.7818314824678675,0.9972037971812044,-0.07473009358609994,1
1,NBEATS ENSEMBLE,prediction,2022-12-17,175.85888462581283,2022-12-17,NA,186,275.9230769230769,275.475,284.1666666666667,-0.9009688679023531,0.43388373911769534,0.5320320765152721,-0.8467241992283248,0.9888308262251548,-0.1490422661759998,1
1,NBEATS ENSEMBLE,prediction,2022-12-18,235.60098580967556,2022-12-18,NA,212,278.2,275.71794871794873,285.50943396226415,-0.7818314824680822,0.6234898018586679,0.4338837391175959,-0.9009688679024009,0.9749279121818805,-0.22252093395606545,1
1,NBEATS ENSEMBLE,prediction,2022-12-19,298.2737241103583,2022-12-19,NA,350,272.875,275.5,283.75,-0.6234898018589838,0.7818314824678302,0.3302790619553182,-0.9438833303083147,0.9555728057862393,-0.29475517441058496,1
1,NBEATS ENSEMBLE,prediction,2022-12-20,314.14171417888485,2022-12-20,NA,284,272.95652173913044,273.1621621621622,281.70588235294116,-0.4338837391180595,0.9009688679021777,0.22252093395658568,-0.9749279121817617,0.930873748644272,-0.36534102436622234,1
1,NBEATS ENSEMBLE,prediction,2022-12-21,320.23626145902205,2022-12-21,NA,233,271.72727272727275,272.3611111111111,279.28,-0.2225209339562006,0.9749279121818496,0.11196447610324985,-0.9937122098932492,0.9009688679025338,-0.43388373911732003,1
